date	direction	O	up_ex	down_ex	entry_time	entry_price	t2_price	t2_level	initial_price	initial_level	initial_reason	primary_reached	primary_time	mfe	mfe_time	mae	mark_1300	initial_touched	touch_time	initial_flipped	flip_time	flip_close	kept_at_flip	primary_after_flip	primary_after_flip_time	post_flip_mae	stop15_hit_before_initial	class	flip_on_entry_bar	initial_dist	initial_share	t2_dist	n_candidates	n_levels	entry_to_1300_bars	retrace_to_initial	retrace_time	worst_flip_to_primary	cf_opp_close_time	cf_opp_close_kept
2026-08-07	DOWN	29714.75	140.25	150.5	09:45	29821.75	29488.75	TDO	29538.7	synthetic_85pct	synthetic	False		257.5	10:12	33.25	82.0	False		False							True	D	False	283.05	0.85	333.0	0	32	194					
2026-08-10	UP	29805.5	94.5	86.5	09:41	29719.0	29878.25	TDO	29786.0	asia(cur)_low	structural	True	10:10	181.0	10:15	0.0	60.75	True	09:44	True	09:46	29788.25	69.25	True	10:10	11.25	False	A	False	67.0	0.421	159.25	2	34	198	True	09:47	35.25	09:50	86.25
2026-08-11	DOWN	29839.25	3.5	223.25	09:30	29842.75	29717.5	london(cur)_low	29751.5	ny_morning(cur)_low	structural	True	09:35	226.75	12:47	0.0	217.0	True	09:31	True	09:33	29736.0	106.75	True	09:35	37.75	False	A	False	91.25	0.729	125.25	4	34	209	False		97.5	09:34	106.25
2026-08-12	DOWN	29991.75	9.75	173.0	09:30	30001.5	29694.5	TDO	29958.5	prev6_day_high	structural	False		182.75	11:34	0.0	96.0	True	09:31	True	09:31	29929.5	72.0	False		31.5	False	B	False	43.0	0.14	307.0	4	34	209	True	09:48	31.5	09:33	99.0
2026-08-13	UP	29911.25	355.75	48.5	09:32	29862.75	30001.5	prev1_day_high	29954.5	prev7_day_high	structural	True	09:36	404.25	10:35	0.0	330.75	True	09:35	True	09:35	29979.75	117.0	True	09:36	115.25	False	A	False	91.75	0.661	138.75	8	32	207	False		115.25	09:38	165.0
2026-08-14	DOWN	30241.5	39.25	216.5	09:48	30280.75	30152.75	TDO	30207.75	day_mid	structural	True	10:24	255.75	11:51	0.0	222.25	True	09:57	True	10:17	30199.5	81.25	True	10:24	80.25	False	A	False	73.0	0.57	128.0	4	32	191	False		80.25	10:20	93.5
2026-08-17	UP	30218.75	68.0	62.25	10:24	30156.5	30246.25	TDO	30228.25	london(cur)_low	structural	True	11:00	130.25	11:07	0.0	27.0	True	10:51	True	10:57	30232.0	75.5	True	11:00	18.75	False	A	False	71.75	0.799	89.75	3	34	155	False		74.75	10:59	87.0
2026-08-18	DOWN	29690.75	79.25	176.75	09:41	29770.0	29625.0	prev4_day_low	29689.0	london(cur)_low	structural	True	09:55	256.0	11:10	0.0	120.0	True	09:44	True	09:44	29687.5	82.5	True	09:55	63.5	False	A	False	81.0	0.559	145.0	2	34	198	True	09:45	69.5	09:45	73.0
2026-08-19	DOWN	29696.25	45.75	320.5	09:33	29742.0	29525.5	TDO	29643.25	london(cur)_high	structural	True	09:48	366.25	10:15	0.0	182.75	True	09:36	True	09:36	29626.5	115.5	True	09:48	74.75	False	A	False	98.75	0.456	216.5	2	34	206	True	09:37	91.25	09:37	113.0
2026-08-20	UP	29350.75	119.5	81.5	10:20	29304.5	29618.75	TDO	29373.75	prev1_day_low	structural	False		152.75	11:02	35.25	75.25	True	10:21	True	10:22	29388.5	84.0	False		-35.25	False	B	False	69.25	0.22	314.25	1	32	159	True	10:23	-35.25	10:24	91.75
2026-08-21	DOWN	29469.25	19.25	249.0	09:30	29472.5	29352.75	TDO	29377.75	prev2_day_low	structural	True	09:35	252.25	10:21	16.0	60.25	True	09:32	True	09:32	29376.5	96.0	True	09:35	-16.0	False	A	False	94.75	0.791	119.75	4	32	209	True	09:33	83.75	09:33	95.0
2026-08-24	DOWN	29235.5	8.25	287.75	09:30	29243.75	29116.75	london(cur)_low	29204.5	prev1_week_low	structural	True	09:31	296.0	09:53	0.0	73.25	True	09:31	True	09:30	29131.75	112.0	True	09:31	19.5	False	A	True	39.25	0.309	127.0	4	34	209	False		84.25	09:31	93.25
2026-08-25	DOWN	29296.5	119.5	138.75	09:49	29416.0	29164.0	TDO	29377.75	prev4_day_low	structural	True	10:30	258.25	10:30	0.0	140.5	True	09:50	True	09:50	29367.0	49.0	True	10:30	27.75	False	A	False	38.25	0.152	252.0	1	34	190	True	09:51	27.75	09:51	38.75
2026-08-26	UP	29174.25	159.0	18.0	10:28	29156.25	29265.5	TDO	29218.25	prev3_day_low	structural	True	10:52	136.0	11:50	0.0	60.75	True	10:37	True	10:37	29229.75	73.5	True	10:52	13.75	False	A	False	62.0	0.568	109.25	6	34	151	True	10:38	49.5	10:38	59.75
2026-08-27	UP	29523.75	135.25	99.75	09:57	29424.0	29661.25	london(cur)_high	29531.5	prev2_week_low	structural	False		235.0	12:45	0.0	227.5	True	10:03	True	10:03	29548.25	124.25	False		77.75	False	B	False	107.5	0.453	237.25	5	32	182	True	10:04	77.75	10:04	112.0
2026-08-28	UP	29628.0	183.75	163.5	10:13	29505.5	29668.75	TDO	29589.5	asia(cur)_low	structural	True	10:22	306.25	11:01	41.0	-3.5	True	10:17	True	10:17	29593.25	87.75	True	10:22	-41.0	False	A	False	84.0	0.515	163.25	5	32	166	True	10:18	83.5	10:23	139.25
