entry_date	entry_time	exit_time	direction	entry_price	exit_price	tdo	stop_price	contracts	pnl	exit_type	divergence_bar	entry_bar	stop_bar_wick_pts	reentry_sequence	prior_trade_bars_held	entry_bar_body_ratio	smt_sweep_pts	smt_miss_pts	bars_since_divergence	matches_hypothesis	session_direction	entry_matches_session
2024-01-02	09:24	09:25	short	16870.25	16873.1375	16862.0	16873.1375	4	-23.1	exit_stop	2	24	4.0	1	0	0.3714	0.75	0.0	22	False	long	False
2024-01-03	09:15	09:19	long	16602.25	16615.5	16610.0	16615.5	4	106.0	exit_stop	2	15	1.5	1	0	0.25	0.25	1.0	13	True	long	True
2024-01-03	09:33	09:35	long	16599.75	16630.0	16610.0	16630.0	4	242.0	exit_stop	22	33	21.25	2	4	0.359	0.25	7.0	11	True	long	True
2024-01-03	10:59	11:01	long	16595.0	16612.5	16610.0	16612.5	4	140.0	exit_stop	47	119	9.25	3	2	0.425	2.0	39.5	72	True	long	True
2024-01-04	09:09	09:10	short	16461.5	16464.3875	16453.25	16464.3875	4	-23.1	exit_stop	8	9	0.5	1	0	0.2857	0.5	2.0	1	False	long	False
2024-01-05	09:39	09:41	short	16463.75	16448.0	16449.0	16448.0	4	126.0	exit_stop	22	39	4.0	1	0	0.734	0.25	1.75	17	True	short	True
2024-01-09	09:11	09:12	short	16676.75	16679.4625	16669.0	16679.4625	4	-21.7	exit_stop	3	11	2.5	1	0	0.1333	0.25	0.0	8	False	neutral	False
2024-01-10	09:40	09:42	short	16855.0	16860.25	16840.0	16860.25	4	-42.0	exit_stop	15	40	1.5	1	0	0.5217	0.25	0.5	25	True	short	True
2024-01-11	09:31	09:33	short	16999.0	16975.75	16984.5	16975.75	4	186.0	exit_stop	18	31	2.75	1	0	0.1618	0.5	0.0	13	True	short	True
2024-01-12	09:54	09:55	short	17019.25	17023.1	17008.25	17023.1	4	-30.8	exit_stop	5	54	3.0	1	0	0.4821	0.25	0.5	49	False	long	False
2024-01-15	10:52	10:55	short	16968.25	16971.925	16957.75	16971.925	4	-29.4	exit_stop	14	112	0.25	1	0	0.1	0.25	9.0	98	True	short	True
2024-01-16	09:25	09:30	long	16903.5	16933.5	16916.5	16933.5	4	240.0	exit_stop	2	25	27.25	1	0	0.9038	0.5	1.0	23	True	long	True
2024-01-16	09:57	09:58	long	16904.0	16899.625	16916.5	16899.625	4	-35.0	exit_stop	40	57	7.5	2	5	0.5147	1.25	13.75	17	True	long	True
2024-01-18	13:02	13:03	long	16987.5	16984.2625	16996.75	16984.2625	4	-25.9	exit_stop	38	242	1.0	1	0	0.1569	0.25	29.0	204	False	short	False
2024-01-19	09:32	09:34	long	17179.0	17197.0	17190.5	17197.0	4	144.0	exit_stop	20	32	3.0	1	0	0.0847	0.25	5.0	12	False	short	False
2024-01-23	09:50	09:51	long	17476.0	17471.8875	17487.75	17471.8875	4	-32.9	exit_stop	1	50	5.5	1	0	0.3922	0.25	0.75	49	False	neutral	False
2024-01-26	09:21	09:22	long	17545.5	17541.2125	17557.75	17541.2125	4	-34.3	exit_stop	2	21	8.0	1	0	0.8148	0.25	0.25	19	False	neutral	False
2024-01-29	09:47	09:49	short	17560.5	17564.7875	17548.25	17564.7875	4	-34.3	exit_stop	23	47	0.25	1	0	0.7222	0.25	1.0	24	False	neutral	False
2024-01-30	09:34	09:35	short	17669.5	17672.3875	17661.25	17672.3875	4	-23.1	exit_stop	22	34	2.75	1	0	0.8065	0.25	12.75	12	False	neutral	False
